wallet,tx_frequency,avg_tx_value,unique_interactions,contract_calls,high_risk_interactions,tx_per_day,value_std,max_tx_value,label
0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,200,0.0,1,200,0,200.0,0.0,0.0,0
0xd8bed08a02e3af26f4fe5c5aaec432eb9a0566ba,133,0.005311019659143264,40,100,0,0.07860520094562648,0.009808840739724396,0.04189516,0
0xd533a949740bb3306d119cc777fa900ba034cd52,200,0.0,1,200,0,200.0,0.0,0.0,0
0xfa2b947eec368f42195f24f36d2af29f7c24cec2,200,0.0,1,200,0,28.571428571428573,0.0,0.0,0
0xafcd96e580138cfa2332c632e66308eacd45c5da,200,2452.7522057038204,1,80,52,0.7017543859649122,8818.919768350152,60000.0,1
0xfb0e46ce306b60d700206f749b122ba17f1d9d7f,200,0.0,1,200,0,200.0,0.0,0.0,0
0x66a9893cc07d91d95644aedd05d03f95e1dba8af,200,0.06506590930362248,1,200,0,200.0,0.281242071317795,3.0,0
0x5a98fcbea516cf06857215779fd812ca3bef1b32,200,0.0,1,200,0,200.0,0.0,0.0,0
0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,200,0.0,1,200,0,28.571428571428573,0.0,0.0,0
0xd76b5c2a23ef78368d8e34288b5b65d616b746ae,200,0.0025949250591333906,1,187,0,0.06391818472355384,0.01778820397491028,0.19664838300180393,0
0xaea46a60368a7bd060eec7df8cba43b7ef41ad85,200,0.0,1,200,0,200.0,0.0,0.0,0
0x742d35cc6634c0532925a3b844bc454e4438f44e,200,583.8780746833481,22,82,66,1.1363636363636365,3884.2220970495396,49999.99999999999,1
0x2a98741765b58e4de3873b8783e750a2a4d40760,200,0.0015424401000000002,11,182,0,9.523809523809524,0.013556033572725513,0.14,0
0x925206b8a707096ed26ae47c84747fe0bb734f59,200,0.0,1,200,0,8.695652173913043,0.0,0.0,0
0x967da4048cd07ab37855c090aaf366e4ce1b9f48,200,0.0,1,200,0,200.0,0.0,0.0,0
0x80c96d2b2a0419418b75d54496d998823c48c563,200,0.027378528406567702,96,39,0,0.22779043280182232,0.04758393251762888,0.29016762,0
0x6468e79a80c0eab0f9a2b574c8d5bc374af59414,200,0.0,1,200,0,7.6923076923076925,0.0,0.0,0
0xd3f4609e6294e80e12cdea5ea4e220826e74202b,200,5.3228235828e-06,200,0,0,200.0,2.984256404483145e-07,6.02428428e-06,0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,200,0.21976658513672775,1,200,1,200.0,2.204321221360791,30.97890017857652,0
0xbb057b406adfbf0930d71f8bac0413132e30bbc3,200,0.0,1,200,0,0.970873786407767,0.0,0.0,0
0xeba88149813bec1cccccfdb0dacefaaa5de94cb1,200,0.3387011568999999,79,0,1,200.0,1.5915116480568268,17.99994,0
0xde0B295669a9FD93d5F28D9Ec85E40f4cb697BAe,200,0.00021234040662732569,1,166,0,0.8264462809917356,0.001580136693281088,0.02,0
0xce16f69375520ab01377ce7b88f5ba8c48f8d666,200,0.0068991516492414775,1,200,0,100.0,0.05892167758836981,0.8,0
0x71b60d85c019bd9a224d2fd953e678ae06e6a819,200,0.013243290527995454,77,80,0,4.761904761904762,0.12119992822181266,1.3846045731324759,0
0x53504210fd7bbf2506cb3ade7dadb600d77e82b3,194,0.0001451029123881747,160,177,0,38.8,0.001365923870347118,0.01417,0
0xd1019c0e83c61d72218f84f538094bb850f28c43,200,0.003509706586918229,153,19,0,1.492537313432836,0.023173818344767415,0.19778074189633388,0
0x68749665ff8d2d112fa859aa293f07a622782f38,200,0.0,1,200,0,200.0,0.0,0.0,0
0xac4c6e212a361c968f1725b4d055b47e63f80b75,200,0.12057313604371962,1,200,0,200.0,0.7466268426365379,9.265515730094453,0
0xf8fc9a91349ebd2033d53f2b97245102f00aba96,200,0.00016351480349999995,18,1,0,2.5316455696202533,0.0008297581633002547,0.007920097,0
0x4aea7cf559f67cedcad07e12ae6bc00f07e8cf65,200,0.112765200883,1,194,0,0.05841121495327103,0.754168249206207,10.0,0
0x867ffb5a3871b500f65bdfafe0136f9667deae06,200,0.35683295000000004,1,200,0,0.10735373054213634,1.1148780707994688,6.8,0
0x12912d831c9fd3ac917c30f3f033c4f0ab26fe9f,200,0.0001306874855918839,11,200,0,100.0,0.0007293359784295419,0.005236910811276056,0
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,200,0.0,1,200,0,200.0,0.0,0.0,0
0x7713693790211e5c65aa4bc9ea645e36777635ec,200,0.00027469550095837465,57,38,0,25.0,0.0002592712035701189,0.00099338850718836,0
0x3301ee63fb29f863f2333bd4466acb46cd8323e6,200,0.0,1,200,0,14.285714285714286,0.0,0.0,0
0x59d1e836f7b7210a978b25a855085cc46fd090b5,200,0.0,1,200,0,1.8181818181818181,0.0,0.0,0
0x54d2252757e1672eead234d27b1270728ff90581,200,0.0,1,200,0,33.333333333333336,0.0,0.0,0
0xa6b71e26c5e0845f74c812102ca7114b6a896ab2,200,0.0,1,200,0,16.666666666666668,0.0,0.0,0
0x5b7533812759b45c2b44c19e320ba2cd2681b542,200,0.0,1,200,0,15.384615384615385,0.0,0.0,0
0x090185f2135308bad17527004364ebcc2d37e5f6,200,0.0,1,200,0,100.0,0.0,0.0,0
0xc4bc30a6ba859886e91e2a0e628deba4ffa273d4,200,0.06107681737197121,86,33,0,0.243605359317905,0.15227632801601498,1.1239077573563367,0
0x0000000000001ff3684f28c67538d4d072c22734,200,2.515211896935117,1,200,1,200.0,35.35437445649141,500.0,0
0xe41d2489571d322189246dafa5ebde1f4699f498,200,0.0,1,200,0,200.0,0.0,0.0,0
0x3d90f66b534dd8482b181e24655a9e8265316be9,200,0.013915356060400699,1,200,0,200.0,0.04598917061621448,0.44179855995658945,0
0xeba8d3a502955c29790f53238ca5ed44a3fee2b3,200,0.22823133371710458,62,84,0,0.08928571428571429,0.8730914597840681,6.0,0
0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae,200,0.00021234040662732569,1,166,0,0.8264462809917356,0.001580136693281088,0.02,0
0xcdcfc0f66c522fd086a1b725ea3c0eeb9f9e8814,200,0.0,1,200,0,0.3067484662576687,0.0,0.0,0
0x69460570c93f9de5e2edbc3052bf10125f0ca22d,200,0.02325994423886869,1,200,0,200.0,0.15539862848315295,2.01944422266292,0
0xaaaebe6fe48e54f431b0c390cfaf0b017d09d42d,200,0.0,1,200,0,4.878048780487805,0.0,0.0,0
0x5b7b8b487d05f77977b7abeec5f922925b9b2afa,102,0.0,2,102,0,0.10515463917525773,0.0,0.0,0
0x2e0ece61d3f2353a851b268f34dca0bc3904df2a,200,4.626657009786185e-06,24,195,0,3.9215686274509802,5.8751274210044225e-05,0.000825331401957237,0
0xdbe661a00e735c8073c0ba167c13571f7304d545,185,0.0036639649592907207,36,94,0,1.185897435897436,0.011128496412795017,0.10712031037157965,0
0x264bd8291fae1d75db2c5f573b07faa6715997b5,200,0.10157756673058699,129,53,0,200.0,0.2310123823569269,1.46138666,0
0xa31b60a6d8293f2e0d43711c32e697f66aacde64,200,8.952830973125476e-05,200,199,0,8.0,0.001266121498382796,0.017905661946250952,0
0xcf0c122c6b73ff809c693db761e7baebe62b6a2e,200,0.0,1,200,0,200.0,0.0,0.0,0
0xeacc91dcbff5cc85b47823ff989a2faf2fee77cf,107,0.0027449286361305243,23,80,0,0.15946348733233978,0.008924676899823125,0.044065826001394,0
